1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""no""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""yes""",[],"""past""","""none""","""no""","in the letter , defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign , defendant richard johnsen , who had been promoted to be defendant ip martinezs chief of staff , stated that pantoja would be removed from his position as gvp - transportation because of his opposition to defendant cervantes .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 19, 2021""]","""past""","""simple""","""no""","on or about march 19 , 2021 , the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""present perfect""","""perfect""","""no""","the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations , and at all times relevant to this complaint , the union has continued to prosecute grievances and other rights under the contracts .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","[""04/13/23""]","""present""","""modal (may be required)""","""yes""","case 3:23 - cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that , because the hospital must remain open all days of the year , employees may be required to work on holidays on the terms and conditions described in the contracts .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""",the hospital has at all times abided by these requirements in the contracts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""can - modal verb indicating capability""","""yes""",the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""","the union submitted a grievance over that issue , but did not pursue it .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""Habitual""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""yes""","""no""","""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","[""May"", ""June""]","""present tense""","""progressive aspect (are asking, are allowing)""","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Present""","""Perfect aspect ('has caused')""","""No""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""Yes""","""No""","""Yes""","""Yes""","""Yes""","""No""","""No""","""Yes""","""No""","[""04/13/23""]","""Past""","""No specific aspect markers identified""","""No""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect (has exhausted)""","""no""",the plaintiff has exhausted the administrative remedies of the plan .,,,,,,,,
"""yes""","""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""01/23/23""","""present""","[""is entitled"", ""has satisfied"", ""has not waived""]","""no""",case 1:23 - cv-00167 - adc document 1 filed 01/23/23 page 6 of 8 7 the plaintiff is entitled to these benefits because the benefits are permitted under the policy issued by the defendants ; the plaintiff has satisfied all conditions precedent to be eligible to receive the benefits and plaintiff has not waived or otherwise relinquished the entitlement to the benefits .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""1974""]","""present""","""none""","""yes""","relief sought the plaintiff requests that this court enter an order declaring the following : this action arises under the employee retirement income security act of 1974 ( "" erisa "" ) , 29 u.s.c . 1001 et seq .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""",[],"""present""","""perfective (has)""","""no""","the court has jurisdiction of this case pursuant to 28 u.s.c . 1331 , in that this action arises under the laws of the united states .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""",[],"""present""","""simple""","""no""","specifically , colleen a. young brings this action to enforce her rights under erisa as authorized by 29 u.s.c . 1132 et seq .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""03/08/24""]","""none""","""none""","""no""",usdc in / nd case 1:24 - cv-00109 document 1 filed 03/08/24 page 1 of 9,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""present""","""simple""","""no""","plaintiff , trachte building systems , inc . ( trachte ) brings this action against defendant sheet metal air , rail and transportation workers local 565 ( local 565 ) to vacate an arbitration award ( award ) and amended arbitration award ( amended award ) entered in smart local 565 v. trachte building systems , inc . , case i d trachte is an employer within the meaning of the lmra , 29 u.s.c . 152(2 ) , and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c . 152(6 ) and ( 7 ) .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""progressive""","""no""","trachte is a wisconsin corporation engaged in the design , manufacture , and erection of durable , pre - engineered , and customized steel self - storage systems .",,,,,,,,
"""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Present""","""Simple""","""No""","its headquarters are located at 314 wilburn road , sun prairie , wisconsin , 53590 , and its operations include a production plant in sun prairie , wisconsin ( the sun prairie plant ) .",,,,,,,,
"""yes""","""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","[""01/11/24""]","""present simple""","""simple aspect""","""no""","case : 3:24 - cv-00018 document # : 1 filed : 01/11/24 page 1 of 6 2 13 , which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""December 1, 2023"", ""December 11, 2023""]","""past""","""perfective""","""no""","trachte received the award on december 1 , 2023 , and the amended award on december 11 ,",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect ('have passed')""","""no""",less than 3 months have passed since the award and the amended award were delivered .,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""",true and accurate copies of the award and the amended award are attached as exhibits 1 and trachte and local 565 are parties to a collective bargaining agreement ( the cba ) covering employees represented by local 565 at the sun prairie plant .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","a true and accurate copy of the cba is attached as exhibit article 9 , section 1 of the cba outlines a four - step procedure to resolve grievances .",,,,,,,,
"""yes""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect""","""yes""","if a grievance has not been resolved by the time the four - step process is exhausted , then the grievance may be appealed to arbitration .",,,,,,,,
